text,class,label,number_of_words
blount inc blt th qtr net oper shr cts vs three cts oper net vs revs mln vs mln avg shrs mln vs mln year oper shr cts vs cts oper net vs revs billion vs billion avg shrs mln vs mln note prior year net excludes gains dlrs in quarter and dlrs in year from termination of overfunded pension plans backlog billion dlrs vs mln dlrs reuter ,ea,2,68
gorman rupp co grc sets quarterly qtly div cts vs cts prior pay june record may eight reuter ,ea,2,18
international thomson to report in u s funds international thomson organisation ltd said it will report financial results in u s funds rather than sterling beginning from jan it said the change will not be applied retroactively to prior financial periods the company said as a result of recent investments most of its assets now are located in the united states reuter ,ea,2,62
wesbanco wsbc o acquiring bank of sissonville wesbanco inc said its board executed a merger agreement with the bank of sissonville when the merger is completed each of the shares of the bank of sissonville common stock outstanding will be converted into shares of wesbanco common stock the company said the bank of sissonville has total assets of mln dlrs as of dec the company said reuter ,ac,0,67
pepsico unit pep lifts calny o stake taco bell corp a unit of pepsico inc said it increased its stake in calny inc common stock to shares or pct of the total outstanding from a previous figure of approximately shares or pct in a filing with the securities and exchange commission taco bell said it bought calny common shares on october and at dlrs a share no reason was given for the recent purchases reuter ,ac,0,75
malaysia advised to raise crude oil output in malaysia s national oil company petronas has advised the government to raise crude oil output to barrels a day bpd in from a current bpd a senior company official said we have the capacity to produce the amount rastam hadi petronas s vice president for upstream sector said the government will announce its decision on friday when it unveils the country s budget malaysia raised output this month to current levels from bpd after reviewing the world oil market in may malaysia cut output to bpd from in response to a call by opec to boost prices reuter ,cr,1,106
u s bill auction rates average pct the u s treasury said its weekly auction of three month bills produced an average rate of pct with a pct rate on six month bills these rates compared with averages of pct for the three and pct for the six month bills sold last week the bond equivalent yield on three month bills was pct accepted bids ranges from to pct and pct of the bids at the high or stopout rate were taken for six months the yield was pct and the bids ranged from pct to pct with pct of the bids accepted the treasury said it received billion dlrs of bids for the three month bills including billion dlrs in non competitive bids from the public it accepted billion dlrs of bids including billion dlrs from the federal reserve and mln dlrs from foreign and international monetary authorities some billion dlrs in bids for six month bills were received including mln dlrs in non competitives the treasury accepted billion dlrs including billion dlrs from the fed and billion dlrs from foreign and international authorities the average price for the three month bills was and prices ranged from to the average price for the six months bills was and prices ranged from to the average yield on the three month bills was the highest since pct on june the average yield on the six month bills was the highest since pct on june reuter ,in,5,244
gateway federal savings gatw o rd qtr net shr cts vs not given net vs not given nine mths shr dlrs vs not given net vs not given note full name is gateway federal savings and loan association latest qtr includes a tax credit of dlrs or cents a share latest nine mths includes a tax credit of dlrs or dlrs figures not given as company went public on june reuter ,ea,2,71
kent electronics corp kec nd qtr sept net shr cts vs seven cts net vs revs vs avg shrs vs nine mths shr cts vs cts net vs revs mln vs avg shrs vs reuter ,ea,2,35
u s weighs lifting japanese trade curbs the white house has completed a new review of japanese semiconductor trading practices but has not yet decided whether trade sanctions levied against japan last april should be lifted u s officials said they said the president s economic policy council looked at japan s adherence to the u s japanese semiconductor pact yesterday and that an announcement may be made shortly but there was no hint what the announcement might be officials have said the pct tariffs on mln dlrs of japanese exports could be modified if japan was found to be honoring a portion of its semiconductor pact but they also noted that the white house has said it was unlikely the tariffs would be lifted before the meeting of the world s seven major economic powers in venice on june the officials added that while the curbs complicated u s japanese economic cooperation they did serve to blunt congressional criticism that the reagan administrtation was not taking tough actions to reduce he u s trade deficit reagan imposed the sanctions on april in retaliation for japan s failure to honor commitments to end dumping semiconductors in world markets at less than production costs and to open its own market to u s goods the sanctions were levied on certain japanese television sets personal computers and hand held power tools reagan in imposing the curbs said they would be lifted as soon as there was evidence of a pattern that japan was adhering to the pact reuter ,tr,7,256
white house says u s monetary policy correct the white house distancing itself from remarks by the administration s budget chief said the federal reserve s current course of monetary policy was appropriate the administration feels that the current course of monetary policy is appropriate white house spokesman marlin fitwater said fitzwater said the administration did not endorse remarks by white house budget chief james miller who said he was concerned the federal reserve might overreact to the decline in the value of the u s dollar by raising interest rates more ,mo,4,92
slater electric inc slat st qtr feb net shr four cts vs cts net vs sales mln vs reuter ,ea,2,19
general electric co ge st qtr net shr dlrs vs dlrs net mln vs mln sales billion vs billion note prior year does not include results of rca corp reuter ,ea,2,30
rio de janeiro dockers strike rio de janeiro s dockworkers went on strike for an indefinite period today to demand wage increases a spokesman for the dockers said the rio dockers did not get support from their colleagues in santos brazil s main port but the spokesman said they would not return to work unless their demands were met earlier this week some dockworkers cancelled a scheduled national strike to pressure port officials to give them a wage increase and other benefits a rio port spokesman said the halt would cause daily losses of about u s dlrs reuter ,sh,6,99
helene curtis industries inc hc st qtr net period end may shr profit four cts vs loss cts net profit vs loss revs mln vs mln reuter ,ea,2,27
eastek corp estk o st qtr sept loss shr loss cts vs loss four cts net loss vs loss revs vs not available note the company made its initial offering in march and before then had been a development stage company so no sales were posted in reuter ,ea,2,48
erie lackawanna inc erie o rd qtr net shr dlrs vs dlrs net vs total income vs nine mths shr dlrs vs dlrs net vs total income vs reuter ,ea,2,29
u s house speaker denies trade bill hurt stocks house speaker jim wright dismissed charges that the trade bill before congress contributed to the fall in stock prices on wall street that is utterly ridiculous the texas democrat told reporters treasury secretary james baker and other administration officials over the weekend pointed to the pending legislation which they brand too protectionist as a key factor in the record setting drop reuter ,tr,7,71
american business products inc abp rd qtr shr cts vs eight cts net vs revs mln vs mln nine mths shr dlrs vs dlrs net vs revs mln vs mln note qtr and nine mths includes loss dlrs or cts per share from unspecified extraordinary item reuter ,ea,2,47
victoria banckshares inc vict o rd qtr net shr profit two cts vs loss dlrs net profit vs loss mln nine mths shr profit cts vs loss dlrs net profit vs loss mln reuter ,ea,2,34
